Object type,Attribute name,Data type,I/O,License,Version added,Description
reservoir,max_head_constr_flag,txy,Input,SHOP_OPEN,14.0.0.1,"Flag determining whether the time-dependent maximum water level limit for the reservoir should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
reservoir,tactical_limit_min,txy,Input,SHOP_TACTICAL_LIMIT,13.0.0.a,"Tactical minimum volume limit for the reservoir (xUnit: NO_UNIT, yUnit: MM3)"
reservoir,tactical_limit_min_flag,txy,Input,SHOP_TACTICAL_LIMIT,13.0.0.a,"Flag determining whether the tactical minimum volume limit should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
reservoir,tactical_cost_min,txy,Input,SHOP_TACTICAL_LIMIT,13.0.0.a,"Given penalty cost for violating the tactical minimum volume limit for the reservoir (xUnit: NO_UNIT, yUnit: NOK/MM3H)"
reservoir,tactical_cost_min_flag,txy,Input,SHOP_TACTICAL_LIMIT,13.0.0.a,"Flag determining whether the penalty cost for violating the tactical minimum volume limit should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
reservoir,tactical_limit_max,txy,Input,SHOP_TACTICAL_LIMIT,13.0.0.a,"Tactical maximum volume limit for the reservoir (xUnit: NO_UNIT, yUnit: MM3)"
reservoir,tactical_limit_max_flag,txy,Input,SHOP_TACTICAL_LIMIT,13.0.0.a,"Flag determining whether the tactical maximum volume limit should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
reservoir,tactical_cost_max,txy,Input,SHOP_TACTICAL_LIMIT,13.0.0.a,"Given penalty cost for violating the tactical maximum volume limit for the reservoir (xUnit: NO_UNIT, yUnit: NOK/MM3H)"
reservoir,tactical_cost_max_flag,txy,Input,SHOP_TACTICAL_LIMIT,13.0.0.a,"Flag determining whether the penalty cost for violating the tactical maximum volume limit should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
reservoir,upper_slack,txy,Input,SHOP_OPEN,13.0.0.a,"Value used for expanding end reservoir volume range above maximum reference volume in cuts (xUnit: NO_UNIT, yUnit: MM3)"
reservoir,lower_slack,txy,Input,SHOP_OPEN,13.0.0.a,"Value used for expanding end reservoir volume range below minimum reference volume in cuts (xUnit: NO_UNIT, yUnit: MM3)"
reservoir,schedule,txy,Input,SHOP_OPEN,13.0.0.a,"Reservoir volume schedule (xUnit: NO_UNIT, yUnit: MM3)"
reservoir,schedule_flag,txy,Input,SHOP_OPEN,13.0.0.a,"Flag determining whether the reservoir volume schedule should be included in the optimization model: 0 = no schedule; 1 = the endpoint interval upper_slack and lower_slack is valid; 2 = reservoir volume schedule is valid anywhere during the optimization period (xUnit: NO_UNIT, yUnit: NO_UNIT)"
reservoir,volume_schedule,txy,Input,SHOP_OPEN,13.0.0.a,"Reservoir volume schedule (xUnit: NO_UNIT, yUnit: MM3)"
reservoir,level_schedule,txy,Input,SHOP_OPEN,13.0.0.a,"Reservoir water level schedule (xUnit: NO_UNIT, yUnit: METER)"
reservoir,volume_ramping_up,txy,Input,SHOP_OPEN,14.0.0.1,"Maximum limit for increase in reservoir volume per hour (xUnit: NO_UNIT, yUnit: MM3)"
reservoir,volume_ramping_down,txy,Input,SHOP_OPEN,14.0.0.1,"Maximum limit for decrease in reservoir volume per hour (xUnit: NO_UNIT, yUnit: MM3)"
reservoir,level_ramping_up,txy,Input,SHOP_OPEN,14.0.0.1,"Maximum limit for increase in reservoir level per hour (xUnit: NO_UNIT, yUnit: METER)"
reservoir,level_ramping_down,txy,Input,SHOP_OPEN,14.0.0.1,"Maximum limit for decrease in reservoir level per hour (xUnit: NO_UNIT, yUnit: METER)"
reservoir,water_value_input,xy_array,Input,SHOP_OPEN,14.0.0.1,"The input water value description of water values referred to the sea. Can be a single constant value, a water value table (xy), or cut coefficients for a single or multiple price nodes. In the case of price dependent cut coefficients, the reference value of each xy in the xy_array should be the relevant price level. (xUnit: MM3, yUnit: NOK/MM3)"
reservoir,energy_value_input,double,Input,SHOP_OPEN,14.0.0.1,"The input local energy value of the reservoir which will be converted to a global water value internally. (xUnit: NOK/MWH, yUnit: NOK/MWH)"
reservoir,peak_volume_cost_curve,xy,Input,SHOP_FLOOD_SUPPORT,14.2.2.0,"A piece-wise constant increasing cost which is applied to the highest reservoir volume reached in the optimization horizon (xUnit: MM3, yUnit: NOK/MM3)"
reservoir,flood_volume_cost_curve,xy,Input,SHOP_FLOOD_SUPPORT,14.2.2.0,"A piece-wise constant increasing cost curve which is used to penalize the reservoir volume level in each hour of the optimzation (xUnit: MM3, yUnit: NOK/MM3)"
reservoir,storage,txy,Output,SHOP_OPEN,13.0.0.a,"Resulting reservoir volume (xUnit: NO_UNIT, yUnit: MM3)"
reservoir,sim_storage,txy,Output,SHOP_OPEN,13.2.0.a,"Simulated reservoir volume (xUnit: NO_UNIT, yUnit: MM3)"
reservoir,head,txy,Output,SHOP_OPEN,13.0.0.a,"Resulting reservoir water level (meter above sea level) (xUnit: NO_UNIT, yUnit: METER)"
reservoir,sim_head,txy,Output,SHOP_OPEN,13.2.0.a,"Simulated reservoir water level (meter above sea level) (xUnit: NO_UNIT, yUnit: METER)"
reservoir,sim_inflow,txy,Output,SHOP_OPEN,13.2.0.a,"Simulated inflow to reservoir (xUnit: NO_UNIT, yUnit: M3/S)"
reservoir,endpoint_penalty,txy,Output,SHOP_OPEN,13.0.0.a,"Resulting penalty when the maximum or minimum volume limit for the reservoir at the end of the optimization period is violated (xUnit: MM3, yUnit: MM3)"
reservoir,penalty,txy,Output,SHOP_OPEN,13.0.0.a,"Resulting penalty when the maximum or minimum volume limit for the reservoir during the optimization period is violated (xUnit: NO_UNIT, yUnit: MM3)"
reservoir,tactical_penalty_up,txy,Output,SHOP_TACTICAL_LIMIT,13.0.0.a,"Resulting penalty when the tactical maximum volume limit for the reservoir is violated (xUnit: NO_UNIT, yUnit: MM3)"
reservoir,tactical_penalty_down,txy,Output,SHOP_TACTICAL_LIMIT,13.0.0.a,"Resulting penalty when the tactical minimum volume limit for the reservoir is violated (xUnit: NO_UNIT, yUnit: MM3)"
reservoir,end_penalty,txy,Output,SHOP_OPEN,13.0.0.a,"Resulting penalty cost when the maximum or minimum volume limit for the reservoir at the end of the optimization period is violated (xUnit: NO_UNIT, yUnit: NOK)"
reservoir,penalty_nok,txy,Output,SHOP_OPEN,13.0.0.a,"Resulting penalty cost when the maximum or minimum volume limit for the reservoir during the optimization period is violated (xUnit: NO_UNIT, yUnit: NOK)"
reservoir,tactical_penalty,txy,Output,SHOP_OPEN,13.0.0.a,"Resulting penalty cost when the tactical maximum or minimum volume limit for the reservoir is violated (xUnit: NO_UNIT, yUnit: NOK)"
reservoir,water_value_global_result,txy,Output,SHOP_OPEN,13.0.0.a,"Marginal cost of 1 Mm3 of the water in the reservoir calculated using the sum of the best efficiency point of all cascaded plants below this reservoir (xUnit: NO_UNIT, yUnit: NOK/MM3)"
reservoir,water_value_local_result,txy,Output,SHOP_OPEN,13.0.0.a,"Marginal cost of 1 Mm3 of the water discharged from the reservoir through the downstream plant (xUnit: NO_UNIT, yUnit: NOK/MM3)"
reservoir,energy_value_local_result,txy,Output,SHOP_XML_FORMAT,13.0.0.a,"Marginal cost of 1 MWh power that generated from the water in the reservoir through the downstream plant (xUnit: NO_UNIT, yUnit: NOK/MWH)"
reservoir,end_value,txy,Output,SHOP_OPEN,13.0.0.a,"Value of reservoir contents at the end of the optimization period (xUnit: NO_UNIT, yUnit: NOK)"
reservoir,change_in_end_value,txy,Output,SHOP_OPEN,13.0.0.a,"Relative change in value of reservoir contents between the start and the end of the optimization horizon (xUnit: NO_UNIT, yUnit: NOK)"
reservoir,vow_in_transit,txy,Output,SHOP_OPEN,13.0.0.a,"Value of delayed water on its way to this reservoir after the end of the optimization period (xUnit: NO_UNIT, yUnit: NOK)"
reservoir,calc_global_water_value,double,Output,SHOP_OPEN,14.0.0.1,"The resulting global water value of the reservoir after the local energy value has been converted internally based on the energy_conversion_factor reservoir attribute. (xUnit: NOK/MM3, yUnit: NOK/MM3)"
reservoir,energy_conversion_factor,double,Output,SHOP_OPEN,14.0.0.1,"The calculated conversion factor between MWh and Mm3 based on the first plant below the reservoir and initial start head. (xUnit: MWH/MM3, yUnit: MWH/MM3)"
reservoir,water_value_cut_result,xy_array,Output,SHOP_SCENARIO_FUNCTIONALITY,14.0.0.1,"The resulting output water value cut coefficients when SHOP is used to create cuts. (xUnit: MM3, yUnit: NOK/MM3)"
reservoir,added_to_network,int,Output,SHOP_TUNNEL,13.0.0.a,"Flag determining whether the model has determined that this reservoir is part of a tunnel network (xUnit: NO_UNIT, yUnit: NO_UNIT)"
reservoir,network_no,int,Output,SHOP_TUNNEL,13.0.0.a,"Network identification number set by the model to indicate which tunnel network this reservoir is part of (xUnit: NO_UNIT, yUnit: NO_UNIT)"
reservoir,peak_volume_penalty,txy,Output,SHOP_FLOOD_SUPPORT,14.0.1.1,"The peak volume penalty incurred for the reservoir, zero in all time steps except for when the reservoir volume peak occurs (xUnit: NO_UNIT, yUnit: NOK)"
reservoir,flood_volume_penalty,txy,Output,SHOP_FLOOD_SUPPORT,14.2.2.0,"The penalty incurred for the reservoir based on the optimized reservoir volume and the flood_volume_cost_curve (xUnit: NO_UNIT, yUnit: NOK)"
plant,num_gen,int,Output,SHOP_OPEN,13.0.0.a,"Number of generators in the plant (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,num_pump,int,Output,SHOP_OPEN,13.0.0.a,"Number of pumps in the plant (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,less_distribution_eps,double,Input,SHOP_EBL_PLANT,13.0.0.a,"The tolerance level for heuristically distributing discharge on generators (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,latitude,double,Input,SHOP_OPEN,13.0.0.a,"Reserved for future use (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,longitude,double,Input,SHOP_OPEN,13.0.0.a,"Reserved for future use (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,ownership,double,Input,SHOP_OWNERSHIP,13.0.0.a,"Percentage of ownership of plant in case of shared ownership. Used to scale generator efficiency curves accordingly. (xUnit: %, yUnit: %)"
plant,prod_area,txy,Input,SHOP_OPEN,13.0.0.a,"Production from this plant will be sold in markets connected to the given production area (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,prod_area_flag,txy,Input,SHOP_OPEN,13.0.0.a,"Flag determining whether production area connection should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,prod_factor,double,Input,SHOP_OPEN,13.0.0.a,"Optional fixed production factor for the plant in KWh/m3, which is used to convert between NOK/MWh and NOK/Mm3. If this is not specified (value of 0.0), SHOP will calculate a production factor for the plant based on best point operation given the initial plant head. (xUnit: KWH/MM3, yUnit: KWH/MM3)"
plant,outlet_line,double,Input,SHOP_OPEN,13.0.0.a,"The level (meter above sea level) of the outlet tunnel from the plant (xUnit: METER, yUnit: METER)"
plant,intake_line,txy,Input,SHOP_EXTENDED_PUMP_FUNCTIONALITY,13.0.0.a,"Minimum upper level used to calculate the height the pump must lift water to. The upper reservoir water level is used if it is above the value of intake_line (xUnit: NO_UNIT, yUnit: METER)"
plant,main_loss,double_array,Input,SHOP_OPEN,13.0.0.a,"The loss factor for the main tunnel of the plant (xUnit: S2/M5, yUnit: S2/M5)"
plant,penstock_loss,double_array,Input,SHOP_OPEN,13.0.0.a,"The list of loss factors for the penstocks of the plant (xUnit: S2/M5, yUnit: S2/M5)"
plant,tailrace_loss,xy_array,Input,SHOP_OPEN,13.0.0.a,"The head loss curve for the tailrace of the plant which can be modelled as an additional head loss related to the discharge of the plant (and bypass) (xUnit: M3/S, yUnit: METER)"
plant,tailrace_loss_from_bypass_flag,txy,Input,SHOP_OPEN,13.0.0.a,"Flag determining whether the bypass discharge should be included in the calculation of tailrace loss (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,intake_loss,xy_array,Input,SHOP_OPEN,13.0.0.a,"The head loss curve for the intake of the plant which can be modelled as an additional head loss related to the discharge of the plant (and bypass) (xUnit: M3/S, yUnit: METER)"
plant,intake_loss_from_bypass_flag,txy,Input,SHOP_OPEN,13.0.0.a,"Flag determining whether the bypass discharge should be included in the calculation of intake loss (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,tides,txy,Input,SHOP_TIDES,13.0.0.a,"The change of plant head related to tides (xUnit: NO_UNIT, yUnit: DELTA_METER)"
plant,time_delay,int,Input,SHOP_OPEN,13.0.0.a,"The delay between the water leaving the plant and until it ends up in the downstream reservoir (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,shape_discharge,xy,Input,SHOP_DYNAMIC_DELAY,13.0.0.a,"Describes the shape of the delayed discharge as a wave function of ratios per time step (xUnit: HOUR, yUnit: NO_UNIT)"
plant,discharge_fee,txy,Input,SHOP_VOW_IN_TRANS,13.0.0.a,"Extra cost for plant discharge referring to the time when it was discharged by the plant (xUnit: NO_UNIT, yUnit: NOK/MM3)"
plant,discharge_fee_flag,txy,Input,SHOP_VOW_IN_TRANS,13.0.0.a,"Flag determining whether the discharge fee should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,discharge_cost_curve,xy,Input,SHOP_BLOCK_MERGE,13.0.0.a,"Extra cost depending on the discharge of the plant (xUnit: M3/S, yUnit: NOK/H/M3/S)"
plant,feeding_fee,txy,Input,SHOP_FEEDING_FEE,13.0.0.a,"Extra cost for feeding electricity into the grid. The feeding fee is added as an extra production cost in the objective function. (xUnit: NO_UNIT, yUnit: NOK/MWH)"
plant,feeding_fee_flag,txy,Input,SHOP_FEEDING_FEE,13.0.0.a,"Flag determining whether the feed-in fee should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,production_fee,txy,Input,SHOP_CONSUMPTION_FEE,13.0.0.a,"Fee that is used to reduce the sale price for energy delivered by this plant (xUnit: NO_UNIT, yUnit: NOK/MWH)"
plant,production_fee_flag,txy,Input,SHOP_CONSUMPTION_FEE,13.0.0.a,"Flag determining whether the production fee should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,consumption_fee,txy,Input,SHOP_CONSUMPTION_FEE,13.0.0.a,"Fee that is used to increase the buy price for energy consumed by this plant (xUnit: NO_UNIT, yUnit: NOK/MWH)"
plant,consumption_fee_flag,txy,Input,SHOP_CONSUMPTION_FEE,13.0.0.a,"Flag determining whether the consumption fee should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,linear_startup_flag,txy,Input,SHOP_SCENARIO_FUNCTIONALITY,13.0.0.a,"Flag determining whether the plant should have linear startup costs when MIP is not active (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,maintenance_flag,txy,Input,SHOP_OPEN,14.0.0.1,"Flag determining whether the plant is out for maintenance or not (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,mip_flag,txy,Input,SHOP_OPEN,13.0.0.a,"Flag determining for which time steps to use binary variables to model generator startup and min production (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,mip_length,txy,Input,SHOP_FLEX_MIP,13.0.0.a,"Set the binary variable length to another value other than the default length of one time step (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,mip_length_flag,txy,Input,SHOP_FLEX_MIP,13.0.0.a,"Flag determining whether the mip_length should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,gen_priority,int_array,Input,SHOP_EBL_PLANT,13.0.0.a,"Prioritization for startup order of generators. If no generators have TXY priority, use this static generator priority (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,n_seg_down,txy,Input,SHOP_EBL_PLANT,13.0.0.a,"The number of segments below the best efficiency point of the unit in the building of original PQ curve in incremental mode (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,n_seg_up,txy,Input,SHOP_EBL_PLANT,13.0.0.a,"The number of segments above the best efficiency point of the unit in the building of original PQ curve in incremental mode (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,n_mip_seg_down,txy,Input,SHOP_EBL_PLANT,13.0.0.a,"The number of segments below the best efficiency point of the unit in the building of original PQ curve in full mode (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,n_mip_seg_up,txy,Input,SHOP_EBL_PLANT,13.0.0.a,"The number of segments below the best efficiency point of the unit in the building of original PQ curve in full mode (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,dyn_pq_seg_flag,txy,Input,SHOP_EBL_PLANT,13.0.0.a,"Flag determining whether dynamically define the segments in the building of the original PQ curve for all the units in this plant in incremental mode (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,dyn_mip_pq_seg_flag,txy,Input,SHOP_EBL_PLANT,14.0.0.1,"Flag determining whether dynamically define the segments in the building of the original PQ curve for all the units in this plant in full mode (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,build_original_pq_curves_by_turb_eff,txy,Input,SHOP_OPEN,14.0.0.1,"Flag determining whether the original PQ curve should be built by the turbine efficiecny curves of the unit or all the operating limits (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,min_p_constr,txy,Input,SHOP_OPEN,13.0.0.a,"Time-dependent minimum production limit for the plant (xUnit: NO_UNIT, yUnit: MW)"
plant,min_p_constr_flag,txy,Input,SHOP_OPEN,13.0.0.a,"Flag determining whether the time-dependent minimum production limit for the plant should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,min_p_penalty_flag,txy,Input,SHOP_SOFT_CONSTRAINTS,13.0.0.a,"Flag determining whether the time-dependent minimum production limit for the plant should be a hard or soft constraint: 0 = hard; 1 = soft (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,min_p_penalty_cost,txy,Input,SHOP_SOFT_CONSTRAINTS,13.0.0.a,"Given penalty cost for violating the time-dependent minimum production limit for the plant (if min_p_penalty_flag is set as 1) (xUnit: NO_UNIT, yUnit: NOK/MWH)"
plant,min_p_penalty_cost_flag,txy,Input,SHOP_SOFT_CONSTRAINTS,13.0.0.a,"Flag determining whether the cost for violating the minimum production constraint should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,max_p_constr,txy,Input,SHOP_OPEN,13.0.0.a,"Time-dependent maximum production limit for the plant (xUnit: NO_UNIT, yUnit: MW)"
plant,max_p_constr_flag,txy,Input,SHOP_OPEN,13.0.0.a,"Flag determining whether the time-dependent maximum production limit for the plant should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,max_p_penalty_flag,txy,Input,SHOP_SOFT_CONSTRAINTS,13.0.0.a,"Flag determining whether the time-dependent maximum production limit for the plant should be a hard or soft constraint: 0 = hard; 1 = soft (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,max_p_penalty_cost,txy,Input,SHOP_SOFT_CONSTRAINTS,13.0.0.a,"Given penalty cost for violating the time-dependent maximum production limit for the plant (if max_p_penalty_flag is set as 1) (xUnit: NO_UNIT, yUnit: NOK/MWH)"
plant,max_p_penalty_cost_flag,txy,Input,SHOP_SOFT_CONSTRAINTS,13.0.0.a,"Flag determining whether the cost for violating the maximum production constraint should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,min_q_constr,txy,Input,SHOP_OPEN,13.0.0.a,"Time-dependent minimum discharge limit for the plant (xUnit: NO_UNIT, yUnit: M3/S)"
plant,min_q_constr_flag,txy,Input,SHOP_OPEN,13.0.0.a,"Flag determining whether the time-dependent minimum discharge limit for the plant should be included in the optimization (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,min_q_penalty_flag,txy,Input,SHOP_SOFT_CONSTRAINTS,13.0.0.a,"Flag determining whether the time-dependent minimum discharge limit for the plant should be a hard or soft constraint: 0 = hard; 1 = soft (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,min_q_penalty_cost,txy,Input,SHOP_SOFT_CONSTRAINTS,13.0.0.a,"Given penalty cost for violating the time-dependent minimum discharge limit for the plant (if min_q_penalty_flag is set as 1) (xUnit: NO_UNIT, yUnit: NOK/MM3)"
plant,min_q_penalty_cost_flag,txy,Input,SHOP_SOFT_CONSTRAINTS,13.0.0.a,"Flag determining whether the cost for violating the minimum discharge constraint should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,max_q_constr,txy,Input,SHOP_OPEN,13.0.0.a,"Time-dependent maximum discharge limit for the plant (xUnit: NO_UNIT, yUnit: M3/S)"
plant,max_q_constr_flag,txy,Input,SHOP_OPEN,13.0.0.a,"Flag determining whether the time-dependent maximum discharge limit for the plant should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,max_q_penalty_flag,txy,Input,SHOP_SOFT_CONSTRAINTS,13.0.0.a,"Flag determining whether the time-dependent maximum discharge limit for the plant should be a hard or soft constraint: 0 = hard; 1 = soft (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,max_q_penalty_cost,txy,Input,SHOP_SOFT_CONSTRAINTS,13.0.0.a,"Given penalty cost for violating the time-dependent maximum discharge limit for the plant by (if max_q_penalty_flag is set as 1) (xUnit: NO_UNIT, yUnit: NOK/MM3)"
plant,max_q_penalty_cost_flag,txy,Input,SHOP_SOFT_CONSTRAINTS,13.0.0.a,"Flag determining whether the cost for violating the maximum discharge constraint should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,max_q_limit_rsv_up,xy,Input,SHOP_OPEN,13.0.0.a,"Maximum plant discharge limit (m3/s) and upstream reservoir water level (meter above sea level) relation (xUnit: METER, yUnit: M3/S)"
plant,max_q_limit_rsv_down,xy,Input,SHOP_OPEN,13.0.0.a,"Maximum plant discharge limit (m3/s) and downstream reservoir water level (meter above sea level) relation (xUnit: METER, yUnit: M3/S)"
plant,production_schedule,txy,Input,SHOP_OPEN,13.0.0.a,"Plant production schedule (xUnit: NO_UNIT, yUnit: MW)"
plant,production_schedule_flag,txy,Input,SHOP_OPEN,13.0.0.a,"Flag determining whether the plant production schedule should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,discharge_schedule,txy,Input,SHOP_SCHEDULE_M3S,13.0.0.a,"Discharge schedule (xUnit: NO_UNIT, yUnit: M3/S)"
plant,discharge_schedule_flag,txy,Input,SHOP_SCHEDULE_M3S,13.0.0.a,"Flag determining whether the plant discharge schedule should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,consumption_schedule,txy,Input,SHOP_OPEN,13.0.0.a,"Plant consumption schedule (xUnit: NO_UNIT, yUnit: MW)"
plant,consumption_schedule_flag,txy,Input,SHOP_OPEN,13.0.0.a,"Flag determining whether the plant consumption schedule should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,upflow_schedule,txy,Input,SHOP_OPEN,13.0.0.a,"Plant upflow schedule (xUnit: NO_UNIT, yUnit: M3/S)"
plant,upflow_schedule_flag,txy,Input,SHOP_OPEN,13.0.0.a,"Flag determining whether the plant upflow schedule should be included in the optimization model (xUnit: NO_UNIT, yUnit: NO_UNIT)"
plant,sched_penalty_cost_down,double,Input,SHOP_SOFT_CONSTRAINTS,13.0.0.a,"Given penalty cost for deviating below the plant schedule (xUnit: NOK, yUnit: NOK)"
plant,sched_penalty_cost_up,double,Input,SHOP_SOFT_CONSTRAINTS,13.0.0.a,"Given penalty cost for deviating above the plant schedule (xUnit: NOK, yUnit: NOK)"
plant,power_ramping_up,txy,Input,SHOP_OPEN,13.0.0.a,"Maximum limit for increase in plant production per hour (xUnit: NO_UNIT, yUnit: MW_HOUR)"
